Time [s],TrunkUnknown,LUUnknown1,LUUnknown2,LUUnknown3,LUUnknown4,LUKnown,Clock
2.755586162,1,1,1,1,1,1,1
2.755636082,1,1,1,1,1,1,1
2.755686002,1,1,1,1,1,1,1
2.755735922,1,1,1,1,1,1,0
2.755785842,1,1,1,1,1,1,0
2.755835762,1,1,1,1,1,1,0
2.755885682,1,1,1,1,1,1,0
2.755935602,1,1,1,1,1,1,0
2.755985522,1,1,1,1,1,1,0
2.756035442,1,1,1,1,1,1,0
2.756085362,1,1,1,1,1,1,0
2.756135282,1,1,1,1,1,1,0
2.756185202,1,1,1,1,1,1,0
2.756235122,1,1,1,1,1,1,0
2.756285042,1,1,1,1,1,1,0
2.756334962,1,1,1,0,1,1,0
2.756384882,0,0,0,0,0,0,1
2.756434802,0,0,0,0,0,0,1
2.756484722,0,0,0,0,0,0,1
2.756534642,0,0,0,0,0,0,1
2.756584562,0,0,0,0,0,0,1
2.756634482,0,0,0,0,0,0,1
2.756684402,0,0,0,0,0,0,1
2.756734322,0,0,0,0,0,0,1
2.756784242,0,0,0,0,0,0,1
2.756834162,0,0,0,0,0,0,1
2.756884082,0,0,0,0,0,0,1
2.756934002,0,0,0,0,0,0,1
2.756983922,0,0,0,0,0,0,0
2.757033842,0,0,0,0,0,0,0
2.757083762,0,0,0,0,0,0,0
2.757133682,0,0,0,0,0,0,0
2.757183602,0,0,0,0,0,0,0
2.757233522,0,0,0,0,0,0,0
2.757283442,0,0,0,0,0,0,0
2.757333362,0,0,0,0,0,0,0
2.757383282,0,0,0,0,0,0,0
2.757433202,0,0,0,0,0,0,0
2.757483122,0,0,0,0,0,0,0
2.757533042,0,0,0,0,0,0,0
2.757582962,0,0,0,0,0,0,0
2.757632882,0,0,0,0,0,0,1
2.757682802,0,0,0,0,0,0,1
2.757732722,0,0,0,0,0,0,1
2.757782642,0,0,0,0,0,0,1
2.757832562,0,0,0,0,0,0,1
2.757882482,0,0,0,0,0,0,1
2.757932402,0,0,0,0,0,0,1
2.757982322,0,0,0,0,0,0,1
2.758032242,0,0,0,0,0,0,1
2.758082162,0,0,0,0,0,0,1
2.758132082,0,0,0,0,0,0,1
2.758182002,0,0,0,0,0,0,1
2.758231922,0,0,0,0,0,0,0
2.758281842,0,0,0,0,0,0,0
2.758331762,0,0,0,0,0,0,0
2.758381682,0,0,0,0,0,0,0
2.758431602,0,0,0,0,0,0,0
2.758481522,0,0,0,0,0,0,0
2.758531442,0,0,0,0,0,0,0
2.758581362,0,0,0,0,0,0,0
2.758631282,0,0,0,0,0,0,0
2.758681202,0,0,0,0,0,0,0
2.758731122,0,0,0,0,0,0,0
2.758781042,0,0,0,0,0,0,0
2.758830962,0,0,0,0,0,0,0
2.758880882,0,0,0,0,0,0,1
2.758930802,0,0,0,0,0,0,1
2.758980722,0,0,0,0,0,0,1
2.759030642,0,0,0,0,0,0,1
2.759080562,0,0,0,0,0,0,1
2.759130482,0,0,0,0,0,0,1
2.759180402,0,0,0,0,0,0,1
2.759230322,0,0,0,0,0,0,1
2.759280242,0,0,0,0,0,0,1
2.759330162,0,0,0,0,0,0,1
2.759380082,0,0,0,0,0,0,1
2.759430002,0,0,0,0,0,0,1
2.759479922,0,0,0,0,0,0,0
2.759529842,0,0,0,0,0,0,0
2.759579762,0,0,0,0,0,0,0
2.759629682,0,0,0,0,0,0,0
2.759679602,0,0,0,0,0,0,0
2.759729522,0,0,0,0,0,0,0
2.759779442,0,0,0,0,0,0,0
2.759829362,0,0,0,0,0,0,0
2.759879282,0,0,0,0,0,0,0
2.759929202,0,0,0,0,0,0,0
2.759979122,0,0,0,0,0,0,0
2.760029042,0,0,0,0,0,0,0
2.760078962,0,0,0,0,0,0,0
2.760128882,1,1,1,1,1,1,1
2.760178802,1,1,1,1,1,1,1
2.760228722,1,1,1,1,1,1,1
2.760278642,1,1,1,1,1,1,1
2.760328562,1,1,1,1,1,1,1
2.760378482,1,1,1,1,1,1,1
2.760428402,1,1,1,1,1,1,1
2.760478322,1,1,1,1,1,1,1
2.760528242,1,1,1,1,1,1,1
2.760578162,1,1,1,1,1,1,1
2.760628082,1,1,1,1,1,1,1
2.760678002,1,1,1,1,1,1,1
2.760727922,1,1,1,1,1,1,0
2.760777842,1,1,1,1,1,1,0
2.760827762,1,1,1,1,1,1,0
2.760877682,1,1,1,1,1,1,0
2.760927602,1,1,1,1,1,1,0
2.760977522,1,1,1,1,1,1,0
2.761027442,1,1,1,1,1,1,0
2.761077362,1,1,1,1,1,1,0
2.761127282,1,1,1,1,1,1,0
2.761177202,1,1,1,1,1,1,0
2.761227122,1,1,1,1,1,1,0
2.761277042,1,1,1,1,1,1,0
2.761326962,1,1,1,1,1,1,0
2.761376882,1,1,1,1,1,1,1
2.761426802,1,1,1,1,1,1,1
2.761476722,1,1,1,1,1,1,1
2.761526642,1,1,1,1,1,1,1
2.761576562,1,1,1,1,1,1,1
2.761626482,1,1,1,1,1,1,1
2.761676402,1,1,1,1,1,1,1
2.761726322,1,1,1,1,1,1,1
2.761776242,1,1,1,1,1,1,1
2.761826162,1,1,1,1,1,1,1
2.761876082,1,1,1,1,1,1,1
2.761926002,1,1,1,1,1,1,1
2.761975922,1,1,1,1,1,1,0
2.762025842,1,1,1,1,1,1,0
2.762075762,1,1,1,1,1,1,0
2.762125682,1,1,1,1,1,1,0
2.762175602,1,1,1,1,1,1,0
2.762225522,1,1,1,1,1,1,0
2.762275442,1,1,1,1,1,1,0
2.762325362,1,1,1,1,1,1,0
2.762375282,1,1,1,1,1,1,0
2.762425202,1,1,1,1,1,1,0
2.762475122,1,1,1,1,1,1,0
2.762525042,1,1,1,1,1,1,0
2.762574962,1,1,1,1,1,1,0
2.762624882,1,1,1,1,1,1,1
2.762674802,1,1,1,1,1,1,1
2.762724722,1,1,1,1,1,1,1
2.762774642,1,1,1,1,1,1,1
2.762824562,1,1,1,1,1,1,1
2.762874482,1,1,1,1,1,1,1
2.762924402,1,1,1,1,1,1,1
2.762974322,1,1,1,1,1,1,1
2.763024242,1,1,1,1,1,1,1
2.763074162,1,1,1,1,1,1,1
2.763124082,1,1,1,1,1,1,1
2.763174002,1,1,1,1,1,1,1
2.763223922,1,1,1,1,1,1,0
2.763273842,1,1,1,1,1,1,0
2.763323762,1,1,1,1,1,1,0
2.763373682,1,1,1,1,1,1,0
2.763423602,1,1,1,1,1,1,0
2.763473522,1,1,1,1,1,1,0
2.763523442,1,1,1,1,1,1,0
2.763573362,1,1,1,1,1,1,0
2.763623282,1,1,1,1,1,1,0
2.763673202,1,1,1,1,1,1,0
2.763723122,1,1,1,1,1,1,0
2.763773042,1,1,1,1,1,1,0
2.763822962,1,1,1,0,1,1,0
2.763872882,0,0,0,0,0,1,1
2.763922802,0,0,0,0,0,0,1
2.763972722,0,0,0,0,0,0,1
2.764022642,0,0,0,0,0,0,1
2.764072562,0,0,0,0,0,0,1
2.764122482,0,0,0,0,0,0,1
2.764172402,0,0,0,0,0,0,1
2.764222322,0,0,0,0,0,0,1
2.764272242,0,0,0,0,0,0,1
2.764322162,0,0,0,0,0,0,1
2.764372082,0,0,0,0,0,0,1
2.764422002,0,0,0,0,0,0,1
2.764471922,0,0,0,0,0,0,0
2.764521842,0,0,0,0,0,0,0
2.764571762,0,0,0,0,0,0,0
2.764621682,0,0,0,0,0,0,0
2.764671602,0,0,0,0,0,0,0
2.764721522,0,0,0,0,0,0,0
2.764771442,0,0,0,0,0,0,0
2.764821362,0,0,0,0,0,0,0
2.764871282,0,0,0,0,0,0,0
2.764921202,0,0,0,0,0,0,0
2.764971122,0,0,0,0,0,0,0
2.765021042,0,0,0,0,0,0,0
2.765070962,0,0,0,0,0,0,0
2.765120882,0,0,0,0,0,0,1
2.765170802,0,0,0,0,0,0,1
2.765220722,0,0,0,0,0,0,1
2.765270642,0,0,0,0,0,0,1
2.765320562,0,0,0,0,0,0,1
2.765370482,0,0,0,0,0,0,1
2.765420402,0,0,0,0,0,0,1
2.765470322,0,0,0,0,0,0,1
2.765520242,0,0,0,0,0,0,1
2.765570162,0,0,0,0,0,0,1
2.765620082,0,0,0,0,0,0,1
2.765670002,0,0,0,0,0,0,1
2.765719922,0,0,0,0,0,0,0
2.765769842,0,0,0,0,0,0,0
2.765819762,0,0,0,0,0,0,0
2.765869682,0,0,0,0,0,0,0
2.765919602,0,0,0,0,0,0,0
2.765969522,0,0,0,0,0,0,0
2.766019442,0,0,0,0,0,0,0
2.766069362,0,0,0,0,0,0,0
2.766119282,0,0,0,0,0,0,0
2.766169202,0,0,0,0,0,0,0
2.766219122,0,0,0,0,0,0,0
