Time,Channel 2
3.945297440,1
3.945553600,0
3.945931040,1
3.946189280,0
3.946441600,1
3.946570720,0
3.946695840,1
3.946952000,0
3.947329440,1
3.947460480,0
3.947585600,1
3.947841920,0
3.947967040,1
3.948096160,0
3.948221280,1
3.948350400,0
3.948727680,1
3.948985920,0
3.949238240,1
3.949494400,0
3.949619520,1
3.949748640,0
3.950126080,1
3.950384320,0
3.950509440,1
3.950638560,0
3.950890880,1
3.951020000,0
3.951145120,1
3.951272160,0
3.951524480,1
3.951782720,0
3.952034880,1
3.952291200,0
3.952543360,1
3.952670560,0
3.952922880,1
3.953053920,0
3.953179040,1
3.953435200,0
3.953560480,1
3.953689440,0
3.953941760,1
3.954068960,0
3.954321120,1
3.954579360,0
3.954704480,1
3.954833600,0
3.954958720,1
3.955087840,0
3.955212960,1
3.955342080,0
3.955719520,1
3.955977760,0
3.956102880,1
3.956232000,0
3.956357120,1
3.956486240,0
3.956611360,1
3.956740480,0
3.957117920,1
3.957376000,0
3.957628320,1
3.957757440,0
3.957882560,1
3.958138880,0
3.958516160,1
3.958774400,0
3.958899520,1
3.959028640,0
3.959153760,1
3.959282880,0
3.959408000,1
3.959537120,0
3.959914560,1
3.960045600,0
3.960170720,1
3.960299840,0
3.960424960,1
3.960681280,0
3.960933440,1
3.961060640,0
3.961312960,1
3.961571040,0
3.961823360,1
3.962079680,0
3.962204800,1
3.962333920,0
3.962711200,1
3.962969440,0
3.963221760,1
3.963350880,0
3.963476000,1
3.963605120,0
3.963730240,1
3.963857280,0
3.964109600,1
3.964240640,0
3.964365760,1
3.964494880,0
3.964620000,1
3.964876320,0
3.965001440,1
3.965130560,0
3.965508000,1
3.965766240,0
3.966018400,1
3.966147520,0
3.966272640,1
3.966401760,0
3.966526880,1
3.966654080,0
3.966906240,1
3.967164480,0
3.967289600,1
3.967418720,0
3.967543840,1
3.967672960,0
3.967925280,1
3.968052320,0
3.968304640,1
3.968435680,0
3.968560800,1
3.968689920,0
3.968815200,1
3.968944160,0
3.969069440,1
3.969198400,0
3.969323680,1
3.969450720,0
3.969703040,1
3.969961280,0
3.970213440,1
3.970469760,0
3.970594880,1
3.970724000,0
3.971355520,1
3.971486720,0
3.971866080,1
3.972249440,0
3.972626880,1
3.973012160,0
3.973391520,1
3.973647840,0
3.973898080,1
3.974156320,0
3.974408480,1
3.974537600,0
3.974916960,1
3.975046080,0
3.975169280,1
3.975427520,0
3.975806880,1
3.976063040,0
3.976440480,1
3.976571520,0
3.976951040,1
3.977334400,0
3.977711680,1
3.978097120,0
3.978476480,1
3.978732640,0
3.978982880,1
3.979241120,0
3.979493440,1
3.979622560,0
3.980001920,1
3.980131040,0
3.980254240,1
3.980512320,0
3.980891840,1
3.981148000,0
3.981652480,1
3.981910720,0
3.982035840,1
3.982164960,0
3.982290080,1
3.982419200,0
3.982544320,1
3.982673440,0
3.983050880,1
3.983309120,0
3.983434240,1
3.983563360,0
3.983688480,1
3.983817600,0
3.984069920,1
3.984196960,0
3.984449280,1
3.984707520,0
3.984832640,1
3.984961760,0
3.985086880,1
3.985216000,0
3.985341120,1
3.985470240,0
3.985847520,1
3.986105760,0
3.986230880,1
3.986360000,0
3.986612320,1
3.986868480,0
3.987245920,1
3.987504160,0
3.987756480,1
3.987885600,0
3.988010720,1
3.988266880,0
3.988644320,1
3.988775360,0
3.988900480,1
3.989156800,0
3.989281920,1
3.989411040,0
3.989536160,1
3.989665280,0
3.990042560,1
3.990300800,0
3.990553120,1
3.990809280,0
3.990934400,1
3.991063520,0
3.991440960,1
3.991699200,0
3.991824320,1
3.991953440,0
3.992205760,1
3.992334880,0
3.992460000,1
3.992587040,0
3.992839360,1
3.993097600,0
3.993349760,1
3.993606080,0
3.993858240,1
3.993985440,0
3.994237760,1
3.994368800,0
3.994493920,1
3.994750080,0
3.994875360,1
3.995004480,0
3.995256640,1
3.995383840,0
3.995636000,1
3.995894240,0
3.996019360,1
3.996148480,0
3.996273600,1
3.996402720,0
3.996527840,1
3.996656960,0
3.997034400,1
3.997292640,0
3.997417760,1
3.997546880,0
3.997672000,1
3.997801120,0
3.997926240,1
3.998055360,0
3.998432800,1
3.998691040,0
3.998943200,1
3.999072320,0
3.999197440,1
3.999453760,0
3.999831040,1
4.000089280,0
4.000214400,1
4.000343520,0
4.000468640,1
4.000597760,0
4.000722880,1
4.000852000,0
4.001229440,1
4.001360480,0
4.001485600,1
4.001614720,0
4.001739840,1
4.001996160,0
4.002248480,1
4.002375520,0
4.002627840,1
4.002886080,0
4.003138240,1
4.003394560,0
4.003519680,1
4.003648800,0
4.004026080,1
4.004284320,0
4.004536640,1
4.004665760,0
4.004790880,1
4.004920000,0
4.005045120,1
4.005172320,0
4.005424480,1
4.005555520,0
4.005680800,1
4.005809920,0
4.005935040,1
4.006191200,0
4.006316320,1
4.006445440,0
4.006822880,1
4.007081120,0
4.007333280,1
4.007462400,0
4.007587520,1
4.007716640,0
4.007841760,1
4.007968960,0
4.008221120,1
4.008479360,0
4.008604480,1
4.008733600,0
4.008858720,1
4.008987840,0
4.009240160,1
4.009367360,0
4.009619520,1
4.009750720,0
4.009875840,1
4.010004960,0
4.010130080,1
4.010259200,0
4.010384320,1
4.010513440,0
4.010638560,1
4.010765600,0
4.011017920,1
4.011276160,0
4.011528320,1
4.011784640,0
4.011909760,1
4.012038880,0
4.012438080,1
4.013598080,0
4.013687360,1
4.013818560,0
4.014197920,1
4.014581280,0
4.014958720,1
4.015344000,0
4.015723360,1
4.015979680,0
4.016229920,1
4.016488160,0
4.016740320,1
4.016869440,0
4.017248800,1
4.017377920,0
4.017501120,1
4.017759360,0
4.018138720,1
4.018394880,0
4.018772320,1
4.018903360,0
4.019282880,1
4.019666240,0
4.020043520,1
4.020428960,0
4.020808320,1
4.021064480,0
4.021314720,1
4.021572960,0
4.021825280,1
4.021954400,0
4.022333760,1
4.022462880,0
4.022586080,1
4.022844160,0
4.023223680,1
4.023479840,0
4.023984320,1
4.024242560,0
4.024367680,1
4.024496800,0
4.024621920,1
4.024751040,0
4.024876160,1
4.025005280,0
4.025382720,1
4.025640960,0
4.025766080,1
4.025895200,0
4.026020320,1
4.026149440,0
4.026401600,1
4.026528800,0
4.026781120,1
4.027039360,0
